filename,basic_ntokens,basic_ntypes,basic_ncontent_tokens,basic_ncontent_types,basic_nfunction_tokens,basic_nfunction_types,lexical_density_types,lexical_density_tokens,simple_ttr_aw,root_ttr_aw,log_ttr_aw,maas_ttr_aw,mattr50_aw,msttr50_aw,hdd42_aw,mtld_original_aw,mtld_ma_bi_aw,mtld_ma_wrap_aw
575873.txt,255,125,119,83,136,42,0.664,0.4666666666666667,0.49019607843137253,7.827803638564369,0.8713380437429201,0.05346345650205566,0.7479611650485437,0.752,0.7879639192004181,63.75,53.66901354459494,57.35686274509804
593846.txt,411,231,266,189,145,42,0.8181818181818182,0.6472019464720195,0.5620437956204379,11.39438970670747,0.904267412094461,0.036625241475716934,0.8338121546961315,0.8300000000000001,0.876761051871715,93.64095744680851,126.84066679500225,121.49391727493918
594117.txt,266,151,151,111,115,40,0.7350993377483444,0.5676691729323309,0.5676691729323309,9.258404026222983,0.8985910546629658,0.041820163015430095,0.8386175115207385,0.8320000000000001,0.8486697094060303,98.97415506958251,102.3116741182315,108.01127819548873
596242.txt,380,171,139,105,241,66,0.6140350877192983,0.36578947368421055,0.45,8.772114910328067,0.8655749704434736,0.05210709523574556,0.7513595166163143,0.762857142857143,0.7921054228377897,59.27408210020798,59.562054234097246,58.22631578947368
603604.txt,477,236,284,179,193,57,0.7584745762711864,0.5953878406708596,0.4947589098532495,10.80569769729687,0.8859046932582462,0.042596424812526984,0.8014485981308396,0.8111111111111111,0.8216072001216798,84.74803921568628,87.28040920716111,85.69601677148847
607016.txt,237,132,110,83,127,49,0.6287878787878788,0.4641350210970464,0.5569620253164557,8.574321392493529,0.892967852685822,0.04507094298813025,0.7905319148936176,0.79,0.8283291541488432,73.52908587257618,75.97967032967034,88.58649789029536
613875.txt,417,224,231,164,186,60,0.7321428571428571,0.5539568345323741,0.5371702637889688,10.969327193986375,0.8969946479965148,0.03931297835009443,0.8261413043478264,0.8425,0.857531890051776,103.22125873640762,103.46210650687821,106.45083932853717
636116.txt,339,166,220,132,119,34,0.7951807228915663,0.6489675516224189,0.4896755162241888,9.015882413453236,0.8774438197968126,0.048437354683990075,0.8422758620689681,0.8366666666666666,0.8115605429983839,89.61389789424547,98.42617046818728,95.3834808259587
652576.txt,2090,692,1216,596,874,96,0.861271676300578,0.5818181818181818,0.3311004784688995,15.136760918389326,0.8554159515011684,0.043547493405233485,0.787280744732963,0.7848780487804878,0.8319994968352872,75.11609661271059,79.54973328392717,79.15933014354067
653726.txt,475,239,326,203,149,36,0.8493723849372385,0.6863157894736842,0.5031578947368421,10.966072079012852,0.8885581421780528,0.04163414797316511,0.8428638497652574,0.8400000000000001,0.8363327886666236,96.60013844023996,101.92830630551015,106.09052631578948
654034.txt,441,207,261,162,180,45,0.782608695652174,0.5918367346938775,0.46938775510204084,9.857142857142858,0.8757890444803178,0.046970633394318353,0.8114285714285717,0.8200000000000001,0.8642242531416395,82.82195121951219,86.20795542055275,86.57596371882086
